Destinaton1,Destination2,Vehicle,Fine,Total,distance,tax,user_id
nagpur,wardha ,Truck,0,276.04,55.207,276.04,1
nagpur,karanja,Truck,0,1080.74,180.123,1080.74,1
nagpur,wardha ,Bike,0,165.62,55.207,165.62,2
nagpur,wardha,Bike,0,220,54.965,219.86,8
karanja,wardha,Car,0,1137,126.294,1136.65,9
nagpur,wardha,Truck,0,330,54.965,329.79,5
nagpur,wardha ,Car,0,276.04,55.207,276.04,3
nagpur,karanja,Truck,200,1280.74,180.123,1080.74,3
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
nagpur,wardha,Car,0,495,54.965,494.69,1
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,8
nagpur,karanja,Car,145,507,180.912,361.82,12
nagpur,karanja,Car,150,512,180.912,361.82,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
wardha,karanja,Bike,0,631,126.294,631.47,11
nagpur,karanja,Truck,0,905,180.912,904.56,3
wardha,karanja,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Bike,0,220,54.965,219.86,5
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,wardha ,Car,0,276.04,55.207,276.04,3
nagpur,karanja,Truck,200,1280.74,180.123,1080.74,3
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
nagpur,wardha,Car,0,495,54.965,494.69,1
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,wardha ,Car,0,276.04,55.207,276.04,3
nagpur,karanja,Truck,200,1280.74,180.123,1080.74,3
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
nagpur,wardha,Car,0,495,54.965,494.69,1
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
karanja,wardha,Car,0,1137,126.294,1136.65,4
nagpur,karanja,Car,195,557,180.912,361.82,2
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,karanja,Car,0,362,180.912,361.82,4
nagpur,karanja,Bike,0,1447,180.912,1447.3,7
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,wardha ,Car,0,276.04,55.207,276.04,3
nagpur,karanja,Truck,200,1280.74,180.123,1080.74,3
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,wardha,Truck,0,330,54.965,329.79,1
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
nagpur,wardha,Car,0,495,54.965,494.69,1
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,wardha,Truck,0,330,54.965,329.79,1
karanja,wardha,Car,0,1137,126.294,1136.65,9
karanja,wardha,Car,0,1137,126.294,1136.65,9
nagpur,karanja,Car,150,512,180.912,361.82,4
wardha,karanja,Bike,0,631,126.294,631.47,1
nagpur,karanja,Truck,0,905,180.912,904.56,3
wardha,karanja,Car,0,1137,126.294,1136.65,12
nagpur,wardha,Bike,0,220,54.965,219.86,2
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,karanja,Car,195,557,180.912,361.82,7
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,karanja,Car,0,362,180.912,361.82,2
nagpur,karanja,Bike,0,1447,180.912,1447.3,2
nagpur,wardha,Car,0,495,54.965,494.69,6
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,wardha,Truck,0,330,54.965,329.79,10
nagpur,karanja,Car,150,512,180.912,361.82,1
wardha,karanja,Bike,0,631,126.294,631.47,9
nagpur,karanja,Truck,0,905,180.912,904.56,3
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,10
nagpur,wardha,Car,0,495,54.965,494.69,11
nagpur,wardha ,Car,0,276.04,55.207,276.04,3
nagpur,karanja,Truck,200,1280.74,180.123,1080.74,3
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,wardha,Truck,0,330,54.965,329.79,1
nagpur,karanja,Others,100,2633,180.912,2532.77,1
nagpur,wardha,Car,0,495,54.965,494.69,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
nagpur,wardha,Car,0,495,54.965,494.69,1
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,2
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Truck,0,330,54.965,329.79,2
nagpur,wardha,Bike,0,220,54.965,219.86,8
nagpur,karanja,Car,145,507,180.912,361.82,12
wardha,karanja,Car,0,1137,126.294,1136.65,2
wardha,karanja,Car,0,1137,126.294,1136.65,7
wardha,karanja,Car,0,1137,126.294,1136.65,12
nagpur,wardha,Bike,0,220,54.965,219.86,2
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,karanja,Car,195,557,180.912,361.82,7
nagpur,wardha,Bike,0,220,54.965,219.86,8
karanja,wardha,Car,0,1137,126.294,1136.65,9
nagpur,wardha,Truck,0,330,54.965,329.79,5
nagpur,karanja,Car,150,512,180.912,361.82,1
wardha,karanja,Car,0,1137,126.294,1136.65,7
wardha,karanja,Bike,0,631,126.294,631.47,11
nagpur,karanja,Truck,0,905,180.912,904.56,3
wardha,karanja,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Bike,0,220,54.965,219.86,5
nagpur,karanja,Car,150,512,180.912,361.82,4
wardha,karanja,Bike,0,631,126.294,631.47,1
nagpur,karanja,Truck,0,905,180.912,904.56,3
wardha,karanja,Car,0,1137,126.294,1136.65,12
nagpur,wardha,Bike,0,220,54.965,219.86,2
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,karanja,Car,195,557,180.912,361.82,7
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,karanja,Car,0,362,180.912,361.82,2
nagpur,karanja,Bike,0,1447,180.912,1447.3,2
nagpur,wardha,Car,0,495,54.965,494.69,6
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Car,0,495,54.965,494.69,2
nagpur,wardha,Truck,0,330,54.965,329.79,10
nagpur,karanja,Car,150,512,180.912,361.82,1
wardha,karanja,Bike,0,631,126.294,631.47,9
nagpur,karanja,Bike,0,1447,180.912,1447.3,2
nagpur,wardha,Car,0,495,54.965,494.69,6
karanja,wardha,Car,0,1137,126.294,1136.65,2
nagpur,wardha,Car,0,495,54.965,494.69,2
