timestamp,latitude,longitude,speed
35:41.0,21.14963,79.08076,1.853716809
35:42.0,21.14962,79.08085,1.853716809
35:43.0,21.14863,79.08068,1.853716809
35:44.0,21.14857,79.08068,1.853716809
35:45.0,21.14851,79.08067,1.853716809
35:46.0,21.14846,79.08067,1.853716809
35:47.0,21.1484,79.08068,1.853716809
35:48.0,21.14834,79.08068,2.11236949
35:49.0,21.1483,79.08069,2.90404622
35:50.0,21.14818,79.08073,3.69572295
35:51.0,21.14789,79.08086,4.487399679
35:52.0,21.14746,79.08108,5.279076409
35:53.0,21.14736,79.08115,6.070753139
35:54.0,21.14719,79.08123,6.862429869
35:55.0,21.1471,79.08128,7.654106598
35:56.0,21.14703,79.08134,8.445783328
35:57.0,21.14689,79.0814,8.837084245
35:58.0,21.14669,79.0814,8.694274036
35:59.0,21.14665,79.08139,8.551463827
36:00.0,21.14647,79.08138,8.408653618
36:01.0,21.14635,79.08136,8.265843409
36:02.0,21.14625,79.08135,8.1230332
36:03.0,21.14616,79.08133,7.980222991
36:04.0,21.14606,79.08132,7.837412782
36:05.0,21.14597,79.0813,7.786222011
36:06.0,21.14448,79.08104,7.78609052
36:07.0,21.14436,79.08103,7.785959029
36:08.0,21.14318,79.08085,7.785827539
36:09.0,21.14148,79.08042,7.785696048
36:10.0,21.14105,79.08029,7.785564557
36:11.0,21.13984,79.07989,7.785433067
36:12.0,21.13883,79.07953,7.785301576
36:13.0,21.13799,79.07926,7.785395388
36:14.0,21.13777,79.07918,7.785526838
36:15.0,21.13742,79.07907,7.785658288
36:16.0,21.1352,79.07831,7.785789738
36:17.0,21.13501,79.07825,7.785921188
36:18.0,21.13364,79.07777,7.786052638
36:19.0,21.13298,79.07755,7.786184089
36:20.0,21.13229,79.07734,7.786306264
36:21.0,21.13162,79.07712,7.786306253
36:22.0,21.13133,79.07698,7.786306241
36:23.0,21.13113,79.07693,7.786306229
36:24.0,21.13083,79.07684,7.786306218
36:25.0,21.13022,79.07663,7.786306206
36:26.0,21.12866,79.07613,7.786306194
36:27.0,21.12858,79.07611,7.786306183
36:28.0,21.12848,79.07607,7.786306171
36:29.0,21.12701,79.07557,7.786306159
36:30.0,21.12543,79.075,7.786306148
36:31.0,21.12536,79.07498,7.786306136
36:32.0,21.12525,79.07493,7.786306124
36:33.0,21.12518,79.07491,7.786306113
36:34.0,21.12254,79.07387,7.786306101
36:35.0,21.12246,79.07385,7.786306089
36:36.0,21.12056,79.07308,7.805985679
36:37.0,21.12034,79.07298,7.84553233
36:38.0,21.12025,79.07295,7.88507898
36:39.0,21.11953,79.07265,7.92462563
36:40.0,21.11929,79.07257,7.964172281
36:41.0,21.11925,79.07255,8.003718931
36:42.0,21.11914,79.07252,8.043265581
36:43.0,21.11817,79.07221,8.082812232
36:44.0,21.118,79.07215,8.122358882
36:45.0,21.1178,79.0721,8.161905532
36:46.0,21.11759,79.07207,8.201452183
36:47.0,21.11743,79.07204,8.240998833
36:48.0,21.11732,79.07203,8.280545484
36:49.0,21.11722,79.07196,8.320092134
36:50.0,21.11718,79.07195,8.359638784
36:51.0,21.1171,79.07192,8.399185435
36:52.0,21.11641,79.07172,8.438732085
36:53.0,21.11629,79.07169,8.478278735
36:54.0,21.11623,79.07168,8.517825386
36:55.0,21.10798,79.06942,8.557372036
36:56.0,21.10692,79.0691,8.596918686
36:57.0,21.10419,79.06835,8.636465337
36:58.0,21.1034,79.06816,8.676011987
36:59.0,21.1027,79.06797,8.715558637
37:00.0,21.10267,79.06797,8.755105288
37:01.0,21.10253,79.06793,8.794651938
37:02.0,21.10233,79.06789,8.834198588
37:03.0,21.10203,79.06781,8.873745239
37:04.0,21.10124,79.06763,8.913291889
37:05.0,21.10111,79.06759,8.95283854
37:06.0,21.09973,79.06724,8.99238519
37:07.0,21.09959,79.06721,9.03193184
37:08.0,21.09815,79.06685,8.916466526
37:09.0,21.09801,79.06681,8.661622903
37:10.0,21.09787,79.06678,8.40677928
37:11.0,21.09477,79.06601,8.151935657
37:12.0,21.09455,79.06595,7.897092033
37:13.0,21.09375,79.06576,7.64224841
37:14.0,21.09346,79.06568,7.387404787
37:15.0,21.09336,79.06566,7.202374655
37:16.0,21.09319,79.06561,7.169883617
37:17.0,21.09276,79.0655,7.137392579
37:18.0,21.09256,79.06546,7.104901541
37:19.0,21.09203,79.06533,7.072410503
