timestamp,latitude,longitude,speed
26:45.0,21.15235,79.08103,8.057280592
26:46.0,21.15216,79.08099,8.057280592
26:47.0,21.15188,79.08096,8.057280592
26:48.0,21.15168,79.08097,8.057280592
26:49.0,21.15095,79.08096,8.057280592
26:50.0,21.15067,79.08097,8.057280592
26:51.0,21.15001,79.08095,8.057280592
26:52.0,21.14962,79.08085,8.057280592
26:53.0,21.14863,79.08068,8.057280592
26:54.0,21.14857,79.08068,8.026562141
26:55.0,21.14851,79.08067,7.993977206
26:56.0,21.14846,79.08067,7.961392272
26:57.0,21.1484,79.08068,7.928807337
26:58.0,21.14834,79.08068,7.896222402
26:59.0,21.1483,79.08069,7.863637467
27:00.0,21.14818,79.08073,7.831052533
27:01.0,21.14789,79.08086,7.798467598
27:02.0,21.14746,79.08108,7.765882663
27:03.0,21.14736,79.08115,7.733297728
27:04.0,21.14719,79.08123,7.700712794
27:05.0,21.1471,79.08128,7.668127859
27:06.0,21.14703,79.08134,7.635542924
27:07.0,21.14689,79.0814,7.602957989
27:08.0,21.14669,79.0814,7.570373055
27:09.0,21.14665,79.08139,7.53778812
27:10.0,21.14647,79.08138,7.505203185
27:11.0,21.14635,79.08136,7.47261825
27:12.0,21.14625,79.08135,7.440033315
27:13.0,21.14616,79.08133,7.407448381
27:14.0,21.14606,79.08132,7.374863446
27:15.0,21.14597,79.0813,7.342278511
27:16.0,21.14448,79.08104,7.309693576
27:17.0,21.14436,79.08103,7.277108642
27:18.0,21.14318,79.08085,7.281736899
27:19.0,21.14148,79.08042,7.312882564
27:20.0,21.14105,79.08029,7.344028229
27:21.0,21.13984,79.07989,7.375173894
27:22.0,21.13883,79.07953,7.406319559
27:23.0,21.13799,79.07926,7.437465224
27:24.0,21.13777,79.07918,7.468610888
27:25.0,21.13742,79.07907,7.499756553
27:26.0,21.13298,79.07755,7.530902218
27:27.0,21.13162,79.07712,7.562047883
27:28.0,21.13133,79.07698,7.593193548
27:29.0,21.13113,79.07693,7.624339213
27:30.0,21.13083,79.07684,7.655484878
27:31.0,21.13022,79.07663,7.686630543
27:32.0,21.12866,79.07613,7.717776208
27:33.0,21.12858,79.07611,7.748921873
27:34.0,21.12848,79.07607,7.780067538
27:35.0,21.12701,79.07557,7.811213203
27:36.0,21.12543,79.075,7.842358868
27:37.0,21.12536,79.07498,7.873504533
27:38.0,21.12525,79.07493,7.904650198
27:39.0,21.12518,79.07491,7.935795863
27:40.0,21.12254,79.07387,7.966941528
27:41.0,21.12246,79.07385,7.998087193
27:42.0,21.12056,79.07308,7.749632909
27:43.0,21.12034,79.07298,7.412994838
27:44.0,21.12025,79.07295,7.076356766
27:45.0,21.11953,79.07265,6.739718695
27:46.0,21.11929,79.07257,6.403080623
27:47.0,21.11925,79.07255,6.066442552
27:48.0,21.11914,79.07252,5.72980448
27:49.0,21.118,79.07215,5.393166409
27:50.0,21.1178,79.0721,5.056528337
27:51.0,21.11743,79.07204,4.719890266
27:52.0,21.11732,79.07203,4.383252195
27:53.0,21.11722,79.07196,4.046614123
27:54.0,21.11718,79.07195,3.709976052
27:55.0,21.1171,79.07192,3.37333798
27:56.0,21.11641,79.07172,3.036699909
27:57.0,21.11623,79.07168,2.700061837
27:58.0,21.10798,79.06942,2.363423766
27:59.0,21.10692,79.0691,2.026785694
28:00.0,21.10419,79.06835,1.690147623
28:01.0,21.1034,79.06816,1.353509551
28:02.0,21.1027,79.06797,1.35064119
28:03.0,21.10267,79.06797,1.499841167
28:04.0,21.10253,79.06793,1.649041144
28:05.0,21.10233,79.06789,1.888185071
28:06.0,21.10203,79.06781,2.247574524
28:07.0,21.10124,79.06763,2.606963977
28:08.0,21.10111,79.06759,2.78921603
28:09.0,21.09375,79.06576,2.902754764
28:10.0,21.09346,79.06568,3.016293498
28:11.0,21.09336,79.06566,3.129832232
28:12.0,21.09319,79.06561,3.243370967
28:13.0,21.09203,79.06533,3.356909701
28:14.0,21.09178,79.06528,3.470448435
28:15.0,21.08908,79.06463,3.583987169
28:16.0,21.08905,79.06463,3.697525903
28:17.0,21.08895,79.06464,3.811064637
28:18.0,21.0889,79.06462,3.924603371
28:19.0,21.08747,79.06421,4.038142106
28:20.0,21.08554,79.06373,4.15168084
28:21.0,21.08548,79.06371,4.265219574
28:22.0,21.08413,79.06336,4.418117394
28:23.0,21.08367,79.06322,4.586206864
28:24.0,21.08355,79.06317,4.754296335
28:25.0,21.08341,79.06312,4.922385805
28:26.0,21.08291,79.06288,5.090475276
28:27.0,21.08263,79.06273,5.258564746
28:28.0,21.08013,79.06153,5.426654217
28:29.0,21.07943,79.06121,5.594743687
28:30.0,21.07835,79.06069,5.762833158
28:31.0,21.0774,79.06034,5.930922628
28:32.0,21.07699,79.06023,6.099012099
28:33.0,21.07688,79.06022,6.267101569
28:34.0,21.07677,79.0602,6.43519104
28:35.0,21.07668,79.0602,6.60328051
28:36.0,21.0766,79.06021,6.771369981
28:37.0,21.07648,79.06021,6.939459451
28:38.0,21.07637,79.06023,7.107548922
28:39.0,21.07572,79.06043,7.275638392
28:40.0,21.07555,79.06049,7.443727862
28:41.0,21.07491,79.06069,7.611817333
28:42.0,21.07484,79.0607,7.779906803
28:43.0,21.07467,79.06074,7.947996274
28:44.0,21.07451,79.06076,8.116085744
28:45.0,21.07419,79.06076,8.284175215
28:46.0,21.07393,79.06073,8.452264685
28:47.0,21.07338,79.06059,8.620354156
28:48.0,21.07313,79.0605,8.788443626
28:49.0,21.07257,79.06026,8.956533097
28:50.0,21.07196,79.06002,9.124622567
28:51.0,21.07086,79.05965,9.292712038
