timestamp,latitude,longitude,speed
20:54.0,20.77272,78.59551,10.43374918
20:55.0,20.77376,78.59482,10.43374918
20:56.0,20.77477,78.5942,10.43374918
20:57.0,20.77515,78.59388,10.43374918
20:58.0,20.77697,78.59268,10.43374918
20:59.0,20.7772,78.59255,10.43374918
21:00.0,20.77733,78.59249,10.43374918
21:01.0,20.77753,78.59243,10.43374918
21:02.0,20.77757,78.59241,10.43374918
21:03.0,20.77819,78.59229,10.43374918
21:04.0,20.77927,78.59214,10.43374918
21:05.0,20.78174,78.59185,10.49401135
21:06.0,20.78199,78.59181,10.60043444
21:07.0,20.7821,78.5918,10.70685753
21:08.0,20.7829,78.5917,10.81328063
21:09.0,20.78308,78.59167,10.91970372
21:10.0,20.78376,78.5916,11.02612682
21:11.0,20.78399,78.59165,11.13254991
21:12.0,20.78412,78.59169,11.238973
21:13.0,20.78503,78.59194,11.3453961
21:14.0,20.78513,78.59196,11.45181919
21:15.0,20.78545,78.59204,11.55824228
21:16.0,20.78631,78.5923,11.66466538
21:17.0,20.78736,78.59259,11.4456786
21:18.0,20.78738,78.5926,11.18641693
21:19.0,20.78824,78.59284,10.92715527
21:20.0,20.78843,78.5929,10.66789361
21:21.0,20.79072,78.59355,10.40863194
21:22.0,20.79129,78.5937,10.14937028
21:23.0,20.79154,78.59378,9.890108616
21:24.0,20.7917,78.5938,9.630846953
21:25.0,20.79192,78.5938,9.37158529
21:26.0,20.79222,78.59381,9.264691493
21:27.0,20.79289,78.59378,9.252196302
21:28.0,20.79371,78.59376,9.239701111
21:29.0,20.79476,78.5937,9.22720592
21:30.0,20.79648,78.59365,9.214710729
21:31.0,20.79762,78.5936,9.202215538
21:32.0,20.79775,78.59359,9.189720347
21:33.0,20.79836,78.59358,9.177225156
21:34.0,20.79926,78.59355,9.164729965
21:35.0,20.79946,78.59353,9.094465592
21:36.0,20.80008,78.59351,8.956243548
21:37.0,20.80016,78.59348,8.818021504
21:38.0,20.8002,78.59347,8.67979946
21:39.0,20.80114,78.59345,8.541577415
21:40.0,20.8012,78.59343,8.403355371
21:41.0,20.80125,78.59342,8.265133327
21:42.0,20.8013,78.5934,8.126911282
21:43.0,20.80135,78.59335,8.008262382
21:44.0,20.80147,78.59321,7.917361797
21:45.0,20.80149,78.59305,7.826461212
21:46.0,20.80151,78.59301,7.735560627
21:47.0,20.80111,78.59195,7.644660042
21:48.0,20.80081,78.59101,7.553759456
21:49.0,20.80055,78.59015,7.462858871
21:50.0,20.8005,78.59,7.355627899
21:51.0,20.8005,78.58996,6.837129671
21:52.0,20.80025,78.58882,6.318631442
21:53.0,20.80017,78.58849,5.800133213
21:54.0,20.80004,78.58804,5.281634984
21:55.0,20.79997,78.58771,4.752037327
21:56.0,20.79992,78.58737,4.172262236
21:57.0,20.7987,78.58405,3.592487144
21:58.0,20.79642,78.57758,3.047523088
21:59.0,20.7963,78.57722,2.794267489
22:00.0,20.79623,78.57704,2.54101189
22:01.0,20.79353,78.56947,2.239420969
22:02.0,20.79248,78.5664,1.912188379
22:03.0,20.79216,78.5653,1.373000608
22:04.0,20.79185,78.56417,0.705269122
22:05.0,20.79124,78.56182,0.484721023
22:06.0,20.79108,78.56099,0.699291177
22:07.0,20.7907,78.55922,0.91386133
22:08.0,20.79028,78.55682,1.361016918
22:09.0,20.79023,78.55658,2.149456113
22:10.0,20.79006,78.55548,2.937895308
22:11.0,20.78991,78.55435,3.726334504
22:12.0,20.78986,78.55375,4.514773699
22:13.0,20.78972,78.55259,4.975563689
22:14.0,20.78952,78.55067,5.084954411
22:15.0,20.7895,78.55016,5.194345133
22:16.0,20.78941,78.54862,5.303735855
22:17.0,20.78934,78.54683,5.413126577
22:18.0,20.78932,78.54551,5.522517299
22:19.0,20.78933,78.54398,5.538607719
22:20.0,20.78937,78.54241,5.550310102
22:21.0,20.78939,78.54202,5.562012484
22:22.0,20.78939,78.54139,5.573714866
22:23.0,20.78943,78.54029,5.585417249
22:24.0,20.78943,78.53887,5.53800814
22:25.0,20.78947,78.53825,5.38650938
22:26.0,20.78947,78.53736,5.23501062
22:27.0,20.78953,78.5351,5.08351186
22:28.0,20.78953,78.53485,4.9320131
22:29.0,20.78959,78.53224,4.918311341
22:30.0,20.78959,78.53145,5.039593955
22:31.0,20.78967,78.52673,5.160876569
22:32.0,20.78968,78.52659,5.282159183
22:33.0,20.78967,78.52525,5.403441797
22:34.0,20.78964,78.52437,5.524724411
22:35.0,20.78962,78.52408,5.538867128
22:36.0,20.78961,78.52368,5.550569504
22:37.0,20.78962,78.52298,5.562271881
22:38.0,20.78963,78.52278,5.573974257
22:39.0,20.78964,78.52163,5.585676633
22:40.0,20.78972,78.51993,5.628823818
22:41.0,20.78973,78.51931,5.722231834
22:42.0,20.78981,78.51811,5.81563985
22:43.0,20.7899,78.51378,5.909047867
22:44.0,20.7899,78.51346,6.002455883
22:45.0,20.78994,78.5114,6.095863899
22:46.0,20.78995,78.50975,6.189271916
22:47.0,20.78999,78.50803,6.282679932
22:48.0,20.79,78.5079,6.376087948
22:49.0,20.79,78.50765,6.469495965
22:50.0,20.79003,78.50628,6.562903981
22:51.0,20.79002,78.5038,6.656311997
22:52.0,20.79004,78.50132,6.730739621
22:53.0,20.79016,78.49707,6.652224927
22:54.0,20.79021,78.4962,6.573710232
22:55.0,20.79021,78.49611,6.495195538
22:56.0,20.79023,78.49592,6.416680844
22:57.0,20.79034,78.49438,6.33816615
22:58.0,20.79036,78.49419,6.259651456
22:59.0,20.7904,78.49351,6.305459408
23:00.0,20.79041,78.49343,6.37123504
23:01.0,20.79041,78.49342,6.437010671
23:02.0,20.79047,78.49294,6.502786303
23:03.0,20.79047,78.49285,6.568561935
23:04.0,20.79058,78.4918,6.634337566
23:05.0,20.7906,78.4917,6.7045016
23:06.0,20.791,78.48876,6.795662477
23:07.0,20.79122,78.48742,6.886823355
23:08.0,20.79146,78.48607,6.977984232
23:09.0,20.79227,78.48243,7.069145109
23:10.0,20.79297,78.47978,7.160305987
23:11.0,20.79297,78.47975,7.251466864
23:12.0,20.79416,78.47534,7.342627742
23:13.0,20.79426,78.47494,7.421550055
23:14.0,20.79616,78.46796,7.497661367
23:15.0,20.79676,78.46552,7.573772679
23:16.0,20.80109,78.44944,7.649883991
23:17.0,20.80123,78.44888,7.725995303
23:18.0,20.80223,78.44518,7.802106615
23:19.0,20.8023,78.4449,7.878217926
23:20.0,20.80233,78.44481,7.954329238
23:21.0,20.80237,78.44463,7.902475651
23:22.0,20.80257,78.44389,7.827553667
23:23.0,20.80258,78.44387,7.752631684
23:24.0,20.80331,78.44109,7.6777097
23:25.0,20.80341,78.44074,7.602787716
23:26.0,20.80341,78.44073,7.527865733
23:27.0,20.80375,78.43943,7.452943749
23:28.0,20.80379,78.43925,7.407697811
23:29.0,20.80394,78.43869,7.400756734
23:30.0,20.80404,78.43836,7.393815657
23:31.0,20.80439,78.43703,7.386874581
23:32.0,20.80468,78.43582,7.379933504
23:33.0,20.80492,78.43489,7.372992427
23:34.0,20.80492,78.43488,7.36605135
23:35.0,20.80501,78.43452,7.366069134
23:36.0,20.80515,78.43388,7.449630957
23:37.0,20.80522,78.43359,7.533192779
23:38.0,20.80536,78.43294,7.616754602
23:39.0,20.80553,78.43208,7.700316425
23:40.0,20.80555,78.432,7.783878247
23:41.0,20.80565,78.43152,7.86744007
23:42.0,20.80586,78.43032,7.951001893
23:43.0,20.80597,78.42963,8.033030164
23:44.0,20.80599,78.42954,8.083388717
23:45.0,20.806,78.42944,8.13374727
23:46.0,20.80617,78.42837,8.184105823
23:47.0,20.80619,78.42818,8.234464376
23:48.0,20.80626,78.42771,8.28482293
23:49.0,20.80632,78.42713,8.335181483
23:50.0,20.80644,78.42618,8.385540036
23:51.0,20.80644,78.42611,8.435898589
23:52.0,20.80646,78.42599,8.469834555
23:53.0,20.80648,78.4258,8.492340377
23:54.0,20.80648,78.42573,8.514846198
23:55.0,20.80654,78.4252,8.53735202
23:56.0,20.80665,78.42405,8.559857842
23:57.0,20.80674,78.42273,8.582363663
23:58.0,20.80682,78.42117,8.604869485
23:59.0,20.80685,78.42033,8.627375306
24:00.0,20.80687,78.41906,8.649881128
24:01.0,20.80688,78.41886,8.737932781
24:02.0,20.80687,78.41694,8.830290554
24:03.0,20.80686,78.41678,8.922648327
24:04.0,20.80685,78.41617,9.015006101
24:05.0,20.80679,78.41472,9.107363874
24:06.0,20.80679,78.41463,9.199721648
24:07.0,20.80669,78.41299,9.292079421
24:08.0,20.80655,78.41138,9.384437194
24:09.0,20.80641,78.41004,9.476794968
24:10.0,20.80641,78.41003,9.569152741
24:11.0,20.80639,78.40984,9.661510515
24:12.0,20.80617,78.40818,9.753868288
24:13.0,20.80591,78.40651,9.846226061
24:14.0,20.80553,78.40439,9.938583835
24:15.0,20.8048,78.40098,10.03094161
24:16.0,20.80209,78.3877,10.12329938
24:17.0,20.80205,78.38747,10.21565715
24:18.0,20.80124,78.38357,10.30801493
24:19.0,20.8011,78.38294,10.4003727
24:20.0,20.79925,78.37404,10.49273048
24:21.0,20.79906,78.37318,10.58508825
24:22.0,20.79859,78.37077,10.67744602
24:23.0,20.7983,78.36941,10.7698038
24:24.0,20.79823,78.36904,10.86216157
24:25.0,20.79629,78.35971,10.95451934
24:26.0,20.79609,78.35861,11.04687712
24:27.0,20.79599,78.35796,11.13923489
24:28.0,20.79589,78.35705,11.23159266
24:29.0,20.79583,78.35639,11.32395044
24:30.0,20.79578,78.35565,11.41630821
24:31.0,20.79576,78.35491,11.50866598
24:32.0,20.79576,78.35379,11.60102376
24:33.0,20.7958,78.35147,11.69338153
24:34.0,20.79582,78.3509,11.7857393
24:35.0,20.79586,78.34844,11.87809708
24:36.0,20.79587,78.34837,11.97045485
24:37.0,20.79587,78.34814,12.06281262
24:38.0,20.79588,78.34791,12.1551704
24:39.0,20.79602,78.33974,12.24752817
24:40.0,20.79604,78.33916,12.33988594
24:41.0,20.79616,78.33198,12.43224372
24:42.0,20.79615,78.33051,12.52460149
24:43.0,20.79611,78.32951,12.61695926
24:44.0,20.796,78.32778,12.70931704
24:45.0,20.79583,78.32594,12.80167481
24:46.0,20.79565,78.32461,12.85509268
24:47.0,20.79544,78.32324,12.89328261
24:48.0,20.79523,78.32213,12.93147254
24:49.0,20.79481,78.32013,12.96966247
24:50.0,20.79449,78.31888,13.0078524
24:51.0,20.79427,78.31807,13.04604233
24:52.0,20.79393,78.31689,13.08423226
24:53.0,20.79313,78.31445,13.12242219
24:54.0,20.79312,78.31443,13.16061212
24:55.0,20.78473,78.28913,13.19880205
24:56.0,20.78378,78.28635,13.23699198
24:57.0,20.78346,78.28537,13.27518191
24:58.0,20.78328,78.28485,13.31337184
24:59.0,20.78325,78.28475,13.35156177
25:00.0,20.78322,78.28467,13.3897517
25:01.0,20.78053,78.2767,13.42794163
25:02.0,20.78035,78.2761,13.46613156
25:03.0,20.78008,78.27533,13.50432149
25:04.0,20.77669,78.26521,13.54251142
25:05.0,20.77589,78.26292,13.58070135
25:06.0,20.77559,78.262,13.61889128
25:07.0,20.77257,78.25306,13.65708121
25:08.0,20.77225,78.25218,13.69527114
25:09.0,20.77213,78.25182,13.73346107
25:10.0,20.77206,78.25158,13.771651
25:11.0,20.77147,78.24979,13.80984093
25:12.0,20.77012,78.24586,13.84803086
25:13.0,20.76971,78.24459,13.88622079
25:14.0,20.76958,78.24423,13.91411958
25:15.0,20.76707,78.23673,13.88533028
25:16.0,20.76692,78.23632,13.85654098
25:17.0,20.76651,78.2351,13.82775168
25:18.0,20.76639,78.23472,13.79896238
25:19.0,20.7609,78.21839,13.77017308
25:20.0,20.76046,78.21712,13.74138378
25:21.0,20.76031,78.21665,13.71259448
25:22.0,20.75926,78.21358,13.68380518
25:23.0,20.75911,78.21317,13.65501588
25:24.0,20.75739,78.20812,13.62622658
25:25.0,20.7573,78.20788,13.59743728
25:26.0,20.75346,78.19651,13.56864798
25:27.0,20.75335,78.19616,13.53985868
25:28.0,20.75263,78.19402,13.51106938
